Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Targets,2PCs,Fumbles,Other TDs,Total Points
Phil Dawson,Ari,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0
Zach Zenner,Det,RB,0,0,0,0,0,88,334,4,18,196,0,23,0,1,0,93.0
Roberto Aguayo,Chi,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0
Mike Nugent,NYG,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
Jesse James,Pit,TE,0,0,0,0,0,0,0,0,39,338,3,59,0,0,0,90.8
Jacquizz Rodgers,TB,RB,0,0,0,0,0,129,560,2,13,98,0,16,0,0,0,90.8
Kendall Wright,Chi,WR,0,0,0,0,0,1,15,0,29,416,3,43,0,0,0,90.1
Marquise Goodwin,SF,WR,0,0,0,0,0,0,0,0,29,431,3,68,0,0,0,90.1
Jermaine Gresham,Ari,TE,0,0,0,0,0,0,0,0,37,391,2,61,0,0,0,88.1
Eddie Royal,Chi,WR,0,0,0,0,0,0,0,0,33,369,2,43,0,0,1,87.9
Nelson Agholor,Phi,WR,0,0,0,0,0,5,14,0,36,365,2,70,1,0,0,87.9
Dorial Green-Beckham,Phi,WR,0,0,0,0,0,0,0,0,36,392,2,74,0,0,0,87.2
Vance McDonald,SF,TE,0,0,0,0,0,0,0,0,24,391,4,45,0,0,0,87.1
Andrew Franks,Mia,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0
Clive Walford,Oak,TE,0,0,0,0,0,0,0,0,33,359,3,52,0,0,0,86.9
Devin Funchess,Car,WR,0,0,0,0,0,0,0,0,23,371,4,59,1,0,0,86.1
Doug Martin,TB,RB,0,0,0,0,0,144,421,3,14,134,0,16,0,1,0,85.5
DeAndre Washington,Oak,RB,0,0,0,0,0,87,467,2,17,115,0,23,0,1,0,85.2
Connor Barth,Chi,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0
Greg Zuerlein,LAR,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
Cody Parkey,Cle,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0
Andrew Hawkins,Cle,WR,0,0,0,0,0,2,0,0,33,324,3,54,0,0,0,83.4
Sammy Watkins,LAR,WR,0,0,0,0,0,0,0,0,28,430,2,52,0,0,0,83.0
Julius Thomas,Mia,TE,0,0,0,0,0,0,0,0,30,281,4,52,0,0,0,82.1
Albert Wilson,KC,WR,0,0,0,0,0,2,50,1,31,279,2,51,0,0,0,81.9
Garrett Celek,SF,TE,0,0,0,0,0,0,0,0,29,350,3,50,0,1,0,80.0
Brian Hoyer,SF,QB,134,200,1445,6,0,7,-2,0,0,0,0,0,0,1,0,79.6
Sammie Coates,Pit,WR,0,0,0,0,0,4,14,0,21,435,2,49,0,0,0,77.9
Quinton Patton,NYJ,WR,0,0,0,0,0,0,0,0,37,408,0,63,0,0,0,77.8
Cody Kessler,Cle,QB,128,195,1380,6,2,11,18,0,0,0,0,0,1,1,0,77.0
Paul Perkins,NYG,RB,0,0,0,0,0,112,456,0,15,162,0,24,0,0,0,76.8
Rex Burkhead,NE,RB,0,0,0,0,0,74,344,2,17,145,0,20,0,1,0,75.9
Trey Burton,Phi,TE,0,0,0,0,0,0,0,0,37,327,1,60,0,0,0,75.7
Dion Sims,Chi,TE,0,0,0,0,0,0,0,0,26,256,4,35,0,0,0,75.6
Thomas Rawls,Sea,RB,0,0,0,0,0,109,349,3,13,96,0,17,0,0,0,75.5
Matt Jones,Wsh,RB,0,0,0,0,0,99,460,3,8,73,0,8,0,2,0,75.3
Kyle Juszczyk,SF,RB,0,0,0,0,0,5,22,1,37,266,0,49,1,0,0,73.8
Blaine Gabbert,Ari,QB,91,160,925,5,6,40,173,2,1,-16,0,1,0,0,0,73.7
Jeremy Langford,Chi,RB,0,0,0,0,0,62,200,4,19,142,0,27,0,2,0,73.2
Fozzy Whittaker,Car,RB,0,0,0,0,0,57,265,0,25,226,0,33,0,1,0,72.1
Brandon Coleman,NO,WR,0,0,0,0,0,0,0,0,26,281,3,38,0,0,0,72.1
Matt Barkley,SF,QB,129,216,1611,8,14,7,2,0,1,2,1,1,0,2,0,71.8
Jared Cook,Oak,TE,0,0,0,0,0,0,0,0,30,377,1,51,0,1,0,71.7
Russell Shepard,Car,WR,0,0,0,0,0,1,9,0,23,341,2,40,0,0,0,70.0
Danny Amendola,NE,WR,0,0,0,0,0,0,0,0,23,243,4,29,0,1,0,69.3
Richard Rodgers,GB,TE,0,0,0,0,0,0,0,0,30,271,2,46,0,0,0,69.1
Charles Sims,TB,RB,0,0,0,0,0,51,149,1,24,190,1,32,0,1,0,67.9
Kamar Aiken,Ind,WR,0,0,0,0,0,0,0,0,29,328,1,50,0,0,0,67.8
Robert Griffin III,Cle,QB,87,147,886,2,3,31,190,2,0,0,0,0,0,1,0,66.4
Justin Hardy,Atl,WR,0,0,0,0,0,0,0,0,21,203,4,32,0,0,0,65.3
Torrey Smith,Phi,WR,0,0,0,0,0,0,0,0,20,267,3,49,0,0,0,64.7
Aldrick Robinson,SF,WR,0,0,0,0,0,0,0,0,20,323,2,32,0,0,0,64.3
Austin Hooper,Atl,TE,0,0,0,0,0,0,0,0,19,271,3,27,0,0,0,64.1
Kai Forbath,Min,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0
Alfred Blue,Hou,RB,0,0,0,0,0,100,420,1,12,40,0,16,0,1,0,62.0
Justin Forsett,Den,RB,0,0,0,0,0,87,291,1,20,85,0,27,0,1,0,61.6
Jacob Tamme,Atl,TE,0,0,0,0,0,0,0,0,22,210,3,31,0,0,0,61.0
C.J. Prosise,Sea,RB,0,0,0,0,0,30,172,1,17,208,0,19,0,0,0,61.0
Corey Brown,Buf,WR,0,0,0,0,0,2,6,0,27,276,1,53,0,1,0,59.2
James Starks,GB,RB,0,0,0,0,0,63,145,0,19,134,2,25,0,0,0,58.9
Bryan Walters,Jax,WR,0,0,0,0,0,1,4,0,24,231,2,34,0,1,0,57.5
Jamize Olawale,Oak,RB,0,0,0,0,0,17,47,2,12,227,1,14,0,0,0,57.4
Deonte Thompson,Chi,WR,0,0,0,0,0,0,0,0,22,249,2,36,0,1,0,56.9
Josh Bellamy,Chi,WR,0,0,0,0,0,4,37,0,19,282,1,38,0,0,0,56.9
John Kuhn,NO,RB,0,0,0,0,0,18,37,4,16,70,1,20,0,0,0,56.7
Paul Richardson,Sea,WR,0,0,0,0,0,1,5,0,21,288,1,36,0,0,0,56.3
Brice Butler,Dal,WR,0,0,0,0,0,0,0,0,16,219,3,32,0,0,0,55.9
Matt Moore,Mia,QB,55,87,721,8,3,1,-1,0,0,0,0,0,0,0,0,54.7
Dion Lewis,NE,RB,0,0,0,0,0,64,283,0,17,94,0,24,0,0,0,54.7
Ladarius Green,Pit,TE,0,0,0,0,0,0,0,0,18,304,1,34,0,0,0,54.4
C.J. Uzomah,Cin,TE,0,0,0,0,0,0,0,0,25,234,1,38,0,0,0,54.4
Robbie Gould,SF,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0
Jared Goff,LAR,QB,112,205,1089,5,7,8,16,1,0,0,0,0,0,2,0,53.2
