Name,Team,Position,Passing Completions,Passing Attempts,Passing Yards,Passing TDs,Passing INTs,Rushing Attemps,Rushing Yards,Rushing TDs,Receptions,Receving Yards,Receiving TDs,Targets,2PCs,Fumbles,Other TDs,Total Points
Derek Anderson,Car,QB,36,53,453,2,5,1,4,0,0,0,0,0,1,1,0,16.5
Antone Smith,TB,RB,0,0,0,0,0,10,47,0,6,77,0,9,0,1,0,16.4
Demarcus Ayers,Pit,WR,0,0,0,0,0,2,-12,0,6,53,1,13,0,0,0,16.1
Alan Cross,TB,TE,0,0,0,0,0,0,0,0,6,38,1,10,0,0,0,15.8
Tommylee Lewis,NO,WR,0,0,0,0,0,3,11,0,7,76,0,11,0,0,0,15.7
Matt Cassel,Ten,QB,30,51,284,2,2,4,3,0,0,0,0,0,0,0,0,15.7
Cody Latimer,Den,WR,0,0,0,0,0,0,0,0,8,76,0,15,0,0,0,15.6
Chris Johnson,Ari,RB,0,0,0,0,0,25,95,1,0,0,0,1,0,0,0,15.5
Mack Brown,Wsh,RB,0,0,0,0,0,8,82,1,1,-2,0,1,0,0,0,15.0
Mike Davis,Sea,RB,0,0,0,0,0,19,50,1,3,25,0,5,0,1,0,14.5
Brandon Bostick,NYJ,TE,0,0,0,0,0,0,0,0,8,63,0,11,0,0,0,14.3
TJ Jones,Det,WR,0,0,0,0,0,0,0,0,5,93,0,14,0,0,0,14.3
Marcel Reece,Sea,RB,0,0,0,0,0,2,0,0,5,72,0,5,1,0,0,14.2
Lucky Whitehead,NYJ,WR,0,0,0,0,0,10,82,0,3,48,0,3,0,1,0,14.0
Aaron Burbridge,SF,WR,0,0,0,0,0,0,0,0,7,88,0,16,0,1,0,13.8
Jeremy Ross,Ari,WR,0,0,0,0,0,0,0,0,4,37,1,4,0,0,0,13.7
Rashard Higgins,Cle,WR,0,0,0,0,0,0,0,0,6,77,0,12,0,0,0,13.7
Darren McFadden,Dal,RB,0,0,0,0,0,24,87,0,3,17,0,5,0,0,0,13.4
Jamaal Charles,Den,RB,0,0,0,0,0,12,40,1,2,14,0,3,0,0,0,13.4
De'Anthony Thomas,KC,WR,0,0,0,0,0,4,29,0,7,35,0,9,0,0,0,13.4
Joshua Perkins,Atl,TE,0,0,0,0,0,0,0,0,3,42,1,5,0,0,0,13.2
Alex Erickson,Cin,WR,0,0,0,0,0,0,0,0,6,71,0,8,0,0,0,13.1
Jerome Felton,Buf,RB,0,0,0,0,0,8,13,0,6,57,0,9,0,0,0,13.0
Gavin Escobar,KC,TE,0,0,0,0,0,0,0,0,4,30,1,7,0,0,0,13.0
Geoff Swaim,Dal,TE,0,0,0,0,0,0,0,0,6,69,0,8,0,0,0,12.9
Derek Watt,LAC,RB,0,0,0,0,0,2,4,0,4,83,0,4,0,0,0,12.7
Blake Bell,SF,TE,0,0,0,0,0,0,0,0,4,85,0,9,0,0,0,12.5
Jonathan Williams,Buf,RB,0,1,0,0,0,27,94,1,1,0,0,2,0,2,0,12.4
Keenan Allen,LAC,WR,0,0,0,0,0,0,0,0,6,63,0,7,0,0,0,12.3
Fitzgerald Toussaint,Pit,RB,0,0,0,0,0,14,58,0,3,33,0,3,0,0,0,12.1
Jordan Todman,NYJ,RB,0,0,0,0,0,9,59,0,0,0,0,1,0,0,1,11.9
Leonte Carroo,Mia,WR,0,0,0,0,0,0,0,0,3,29,1,6,0,0,0,11.9
Bryce Treggs,Phi,WR,0,0,0,0,0,2,7,0,3,80,0,12,0,0,0,11.7
Wendall Williams,Hou,WR,0,0,0,0,0,0,0,0,4,75,0,7,0,0,0,11.5
Nick Williams,Atl,WR,0,0,0,0,0,0,0,0,5,59,0,7,0,0,0,10.9
Dexter McCluster,LAC,RB,0,0,0,0,0,3,2,0,7,36,0,11,0,0,0,10.8
Nick Boyle,Bal,TE,0,0,0,0,0,0,0,0,6,44,0,6,0,0,0,10.4
Byron Marshall,Phi,RB,0,0,0,0,0,19,64,0,3,10,0,5,0,0,0,10.4
Knile Davis,Pit,RB,0,0,0,0,0,18,28,0,5,25,0,7,0,0,0,10.3
Terrell Watson,Pit,RB,0,0,0,0,0,9,28,1,1,5,0,1,0,0,0,10.3
Phillip Supernaw,Ten,TE,0,0,0,0,0,0,0,0,4,62,0,5,0,0,0,10.2
Matt Lengel,NE,TE,0,0,0,0,0,0,0,0,2,22,1,3,0,0,0,10.2
Shaun Hill,Min,QB,19,35,242,0,0,5,5,0,0,0,0,0,0,0,0,10.2
Malcolm Brown,LAR,RB,0,0,0,0,0,18,39,0,3,46,0,3,0,1,0,9.5
Trevor Davis,GB,WR,0,0,0,0,0,0,0,0,3,24,1,6,0,1,0,9.4
George Atkinson III,Oak,RB,0,0,0,0,0,7,34,1,0,0,0,0,0,0,0,9.4
Charlie Whitehurst,Cle,QB,14,24,182,1,1,2,1,0,0,0,0,0,0,0,0,9.4
Drew Stanton,Ari,QB,19,48,192,2,3,3,-3,0,0,0,0,0,0,0,0,9.4
Adrian Peterson,NO,RB,0,0,0,0,0,37,72,0,3,8,0,6,0,1,0,9.0
Mike Glennon,Chi,QB,10,11,75,1,0,0,0,0,0,0,0,0,1,0,0,9.0
Scott Tolzien,Ind,QB,23,37,216,1,2,6,3,0,0,0,0,0,0,0,0,8.9
